contig,contrast,logFC,logCPM,LR,PValue,FDR,Accession,Fullname,Altnames,Pfam,GO,CellularComponent,Molecular.Function,Biological.Process
contig-60_8349,binary.seasonlate.and.fall,3.778239766,4.414664628,10.92592214,0.00094828,0.014007266,Q899C3,Isoleucine--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_02003},Isoleucyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_02003};, PF08264;PF00133;, GO:0005737;GO:0002161;GO:0005524;GO:0004822;GO:0000049;GO:0008270;GO:0006428;,  C:cytoplasm;,  F:aminoacyl-tRNA editing activity; F:ATP binding; F:isoleucine-tRNA ligase activity; F:tRNA binding; F:zinc ion binding;,  P:isoleucyl-tRNA aminoacylation;
contig-60_2875,binary.seasonlate.and.fall,3.778974482,5.099312221,10.47967514,0.00120695,0.017375213,A8MG60,UPF0365 protein Clos_1242 {ECO:0000255|HAMAP-Rule:MF_01562},, PF12127;, GO:0016021;GO:0005886;,  C:integral component of membrane; C:plasma membrane;, , 
contig-60_5884,binary.seasonlate.and.fall,3.783281837,4.707079837,8.226316555,0.004128724,0.04929822,A6VXD0,Aspartate--tRNA(Asp/Asn) ligase {ECO:0000255|HAMAP-Rule:MF_00044},Aspartyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_00044};Non-discriminating aspartyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_00044};, PF02938;PF00152;PF01336;, GO:0005737;GO:0004815;GO:0050560;GO:0005524;GO:0003676;GO:0006422;,  C:cytoplasm;,  F:aspartate-tRNA ligase activity; F:aspartate-tRNA(Asn) ligase activity; F:ATP binding; F:nucleic acid binding;,  P:aspartyl-tRNA aminoacylation;
contig-60_12834,binary.seasonlate.and.fall,3.784215022,4.473935583,15.69600327,7.44E-05,0.001400924,P32393,ComE operon protein 2,, PF00383;, GO:0004132;GO:0008270;GO:0006220;, ,  F:dCMP deaminase activity; F:zinc ion binding;,  P:pyrimidine nucleotide metabolic process;
contig-60_42856,binary.seasonlate.and.fall,3.78750173,4.866061322,9.812565299,0.001733236,0.023568277,P63344 Q8XGY2,ATP-dependent zinc metalloprotease FtsH {ECO:0000255|HAMAP-Rule:MF_01458},, PF00004;PF06480;PF01434;, GO:0016021;GO:0005886;GO:0005524;GO:0016887;GO:0004222;GO:0008270;GO:0030163;,  C:integral component of membrane; C:plasma membrane;,  F:ATP binding; F:ATPase activity; F:metalloendopeptidase activity; F:zinc ion binding;,  P:protein catabolic process;
contig-60_37467,binary.seasonlate.and.fall,3.790031454,4.122671211,14.23424365,0.000161406,0.002844389,Q5UQL4,Uncharacterized protein L417,, , GO:0019012;,  C:virion;, , 
contig-60_689846,binary.seasonlate.and.fall,3.79041342,3.776836581,8.874708631,0.002891484,0.0367769,,,, , , , , 
contig-60_351156,binary.seasonlate.and.fall,3.793765046,4.120503287,9.834125457,0.001713037,0.023341906,,,, , , , , 
contig-60_1376,binary.seasonlate.and.fall,3.79406261,4.677315572,12.91244437,0.000326405,0.005431706,,,, , , , , 
contig-60_152881,binary.seasonlate.and.fall,3.802118832,4.880637288,11.14722787,0.000841573,0.012647074,,,, , , , , 
contig-60_21706,binary.seasonlate.and.fall,3.805746061,4.794943416,12.56855855,0.000392291,0.006401707,Q9CHU6,"6-phosphogluconate dehydrogenase, decarboxylating",, PF00393;PF03446;, GO:0050661;GO:0004616;GO:0019521;GO:0006098;, ,  F:NADP binding; F:phosphogluconate dehydrogenase (decarboxylating) activity;,  P:D-gluconate metabolic process; P:pentose-phosphate shunt;
contig-60_7445,binary.seasonlate.and.fall,3.811213969,4.046443969,10.27780022,0.001346404,0.019073666,O34383 Q796C2,Uncharacterized sodium-dependent transporter YocR,, PF00209;, GO:0016021;GO:0005886;GO:0005328;,  C:integral component of membrane; C:plasma membrane;,  F:neurotransmitter:sodium symporter activity;, 
contig-60_101295,binary.seasonlate.and.fall,3.815681289,3.928734307,11.73486544,0.0006134,0.009563572,,,, , , , , 
contig-60_84977,binary.seasonlate.and.fall,3.817453019,4.081501839,9.977406707,0.001584727,0.021893083,P45037,Cytochrome c-type biogenesis protein CcmF,, PF16327;PF01578;, GO:0016021;GO:0005886;GO:0020037;GO:0015232;GO:0017004;,  C:integral component of membrane; C:plasma membrane;,  F:heme binding; F:heme transporter activity;,  P:cytochrome complex assembly;
contig-60_54751,binary.seasonlate.and.fall,3.821032635,4.542181378,11.10250364,0.000862113,0.012920288,Q185R8,1-deoxy-D-xylulose 5-phosphate reductoisomerase {ECO:0000255|HAMAP-Rule:MF_00183},1-deoxyxylulose-5-phosphate reductoisomerase {ECO:0000255|HAMAP-Rule:MF_00183};2-C-methyl-D-erythritol 4-phosphate synthase {ECO:0000255|HAMAP-Rule:MF_00183};, PF08436;PF02670;PF13288;, GO:0030604;GO:0046872;GO:0070402;GO:0019288;GO:0016114;, ,  F:1-deoxy-D-xylulose-5-phosphate reductoisomerase activity; F:metal ion binding; F:NADPH binding;,"  P:isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; P:terpenoid biosynthetic process;"
contig-60_32267,binary.seasonlate.and.fall,3.824628261,4.165609326,14.91238647,0.000112621,0.002038219,,,, , , , , 
contig-60_1738136,binary.seasonlate.and.fall,3.832675939,6.371178433,8.37054986,0.003813502,0.046163743,Q6H956,Photosystem II D2 protein,Photosystem Q(A) protein;, PF00124;, GO:0044160;GO:0016021;GO:0016168;GO:0045156;GO:0046872;GO:0009772;GO:0018298;,  C:host thylakoid membrane; C:integral component of membrane;,"  F:chlorophyll binding; F:electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; F:metal ion binding;",  P:photosynthetic electron transport in photosystem II; P:protein-chromophore linkage;
contig-60_345,binary.seasonlate.and.fall,3.833902935,6.458002931,10.05228816,0.001521588,0.021189896,Q51342 Q9HZB1,Amidophosphoribosyltransferase {ECO:0000255|HAMAP-Rule:MF_01931},Glutamine phosphoribosylpyrophosphate amidotransferase {ECO:0000255|HAMAP-Rule:MF_01931};, PF00156;, GO:0004044;GO:0000287;GO:0006189;GO:0006541;GO:0009116;GO:0009113;, ,  F:amidophosphoribosyltransferase activity; F:magnesium ion binding;,  P:'de novo' IMP biosynthetic process; P:glutamine metabolic process; P:nucleoside metabolic process; P:purine nucleobase biosynthetic process;
contig-60_18917,binary.seasonlate.and.fall,3.837366808,4.50323516,9.061020585,0.002611162,0.033840082,,,, , , , , 
contig-60_12360,binary.seasonlate.and.fall,3.846738538,4.461180917,8.934773489,0.002797922,0.035766819,,,, , , , , 
contig-60_27756,binary.seasonlate.and.fall,3.853082464,3.914245123,11.30228868,0.000774116,0.01172447,P74078,UPF0053 protein sll1254,, PF00571;PF01595;, GO:0016021;GO:0005886;,  C:integral component of membrane; C:plasma membrane;, , 
contig-60_755,binary.seasonlate.and.fall,3.858023349,4.409466476,10.12231756,0.001464847,0.020539104,,,, , , , , 
contig-60_41220,binary.seasonlate.and.fall,3.860564008,4.243548265,10.21278734,0.001394702,0.019664643,,,, , , , , 
contig-60_163932,binary.seasonlate.and.fall,3.863014117,5.054874979,9.91100976,0.00164293,0.022554938,Q4FNP9,Chaperone protein DnaK {ECO:0000255|HAMAP-Rule:MF_00332},HSP70 {ECO:0000255|HAMAP-Rule:MF_00332};Heat shock 70 kDa protein {ECO:0000255|HAMAP-Rule:MF_00332};Heat shock protein 70 {ECO:0000255|HAMAP-Rule:MF_00332};, PF00012;, GO:0005524;GO:0051082;GO:0006457;, ,  F:ATP binding; F:unfolded protein binding;,  P:protein folding;
contig-60_58171,binary.seasonlate.and.fall,3.870609994,3.96811956,8.823053498,0.002974485,0.037686749,,,, , , , , 
contig-60_267915,binary.seasonlate.and.fall,3.873280495,4.953891369,10.89411127,0.000964705,0.014211557,Q7V0C7,Phosphoribosylaminoimidazole-succinocarboxamide synthase {ECO:0000255|HAMAP-Rule:MF_00137},SAICAR synthetase {ECO:0000255|HAMAP-Rule:MF_00137};, PF01259;, GO:0005524;GO:0004639;GO:0006189;GO:0009236;, ,  F:ATP binding; F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity;,  P:'de novo' IMP biosynthetic process; P:cobalamin biosynthetic process;
contig-60_57962,binary.seasonlate.and.fall,3.875152667,3.694615123,12.44447924,0.000419229,0.006785053,Q3ATR5,Macrolide export ATP-binding/permease protein MacB {ECO:0000255|HAMAP-Rule:MF_01720},, PF00005;PF02687;PF12704;, GO:0016021;GO:0005886;GO:0042895;GO:0005524;GO:0016887;GO:0015562;GO:0046677;,  C:integral component of membrane; C:plasma membrane;,  F:antibiotic transmembrane transporter activity; F:ATP binding; F:ATPase activity; F:efflux transmembrane transporter activity;,  P:response to antibiotic;
contig-60_17502,binary.seasonlate.and.fall,3.8762934,4.498592486,9.930260029,0.001625836,0.022377568,,,, , , , , 
contig-60_28597,binary.seasonlate.and.fall,3.877807373,4.681706934,9.018799484,0.002672168,0.034427082,,,, , , , , 
contig-60_551,binary.seasonlate.and.fall,3.900599899,5.21983182,8.584198759,0.003390926,0.042118259,P55474,Nodulation protein NolNO,, PF16861;PF02543;, GO:0005737;GO:0016740;GO:0009058;GO:0009877;,  C:cytoplasm;,  F:transferase activity;,  P:biosynthetic process; P:nodulation;
contig-60_4958,binary.seasonlate.and.fall,3.902277849,4.28067334,10.26082914,0.001358846,0.019206375,,,, , , , , 
contig-60_11553,binary.seasonlate.and.fall,3.904236293,4.060276152,11.01892709,0.000901863,0.013424192,P19821,"DNA polymerase I, thermostable",Taq polymerase 1;, PF01367;PF02739;PF00476;PF09281;, GO:0003677;GO:0003887;GO:0001882;GO:0006281;GO:0006261;, ,  F:DNA binding; F:DNA-directed DNA polymerase activity; F:nucleoside binding;,  P:DNA repair; P:DNA-dependent DNA replication;
contig-60_34052,binary.seasonlate.and.fall,3.907753134,4.541855871,8.529542384,0.003494275,0.043119532,Q9ZVH8 Q8VXZ6,Transcription elongation factor TFIIS {ECO:0000305},Protein REDUCED DORMANCY 2 {ECO:0000303|PubMed:21799800};, PF08711;PF01096;PF07500;, GO:0005634;GO:0003746;GO:0008270;GO:0009910;GO:0034243;GO:0009739;GO:0010162;GO:0009845;GO:0006351;,  C:nucleus;,  F:translation elongation factor activity; F:zinc ion binding;,"  P:negative regulation of flower development; P:regulation of transcription elongation from RNA polymerase II promoter; P:response to gibberellin; P:seed dormancy process; P:seed germination; P:transcription, DNA-templated;"
contig-60_1795242,binary.seasonlate.and.fall,3.909637046,4.34947502,11.16725488,0.000832537,0.012522731,P08142 Q2M7Y4,Acetolactate synthase isozyme 1 large subunit,Acetohydroxy-acid synthase I large subunit;, PF02775;PF00205;PF02776;, GO:0005948;GO:0003984;GO:0050660;GO:0000287;GO:0030976;GO:0009097;GO:0009099;,  C:acetolactate synthase complex;,  F:acetolactate synthase activity; F:flavin adenine dinucleotide binding; F:magnesium ion binding; F:thiamine pyrophosphate binding;,  P:isoleucine biosynthetic process; P:valine biosynthetic process;
contig-60_30775,binary.seasonlate.and.fall,3.912515321,4.790462325,8.926405831,0.002810769,0.035917085,,,, , , , , 
contig-60_3426201,binary.seasonlate.and.fall,3.915416943,4.233927896,8.843704718,0.002941015,0.037296569,,,, , , , , 
contig-60_3320,binary.seasonlate.and.fall,3.917090741,4.369951026,13.07920246,0.000298593,0.005022222,Q8A1G1 Q45780,TonB-dependent receptor SusC,Starch-utilization system protein C;, PF07715;PF00593;, GO:0009279;GO:0005615;GO:0016021;GO:0019867;GO:0004181;GO:2001070;GO:0006518;GO:0016485;GO:0005983;,  C:cell outer membrane; C:extracellular space; C:integral component of membrane; C:outer membrane;,  F:metallocarboxypeptidase activity; F:starch binding;,  P:peptide metabolic process; P:protein processing; P:starch catabolic process;
contig-60_41002,binary.seasonlate.and.fall,3.923730583,4.00420542,11.25183873,0.000795442,0.012014242,Q058G2,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG {ECO:0000255|HAMAP-Rule:MF_00129},Glucose-inhibited division protein A {ECO:0000255|HAMAP-Rule:MF_00129};, PF13932;, GO:0005737;GO:0050660;GO:0002098;,  C:cytoplasm;,  F:flavin adenine dinucleotide binding;,  P:tRNA wobble uridine modification;
contig-60_130022,binary.seasonlate.and.fall,3.926131298,4.191495292,10.31735841,0.001317848,0.018717539,Q9A594 Q9RQJ7,Transcriptional regulator MraZ,, PF02381;, GO:0005737;GO:0009295;GO:0003677;GO:0003700;,  C:cytoplasm; C:nucleoid;,  F:DNA binding; F:DNA-binding transcription factor activity;, 
contig-60_110634,binary.seasonlate.and.fall,3.930391105,3.592325421,9.494996801,0.002060329,0.027470502,P15076,Terminal DNA protecting protein,Gene product 64;Head protein Gp2;, , GO:0019012;GO:0099016;,  C:virion;, ,  P:DNA end degradation evasion by virus;
contig-60_36422,binary.seasonlate.and.fall,3.931009617,4.904531958,15.00428472,0.000107267,0.001952076,,,, , , , , 
contig-60_29548,binary.seasonlate.and.fall,3.940037188,4.592647583,15.4769033,8.35E-05,0.00155698,,,, , , , , 
contig-60_7981,binary.seasonlate.and.fall,3.942889142,4.108862737,9.535257792,0.002015619,0.026939943,Q2S3N9,DNA-directed RNA polymerase subunit alpha {ECO:0000255|HAMAP-Rule:MF_00059},RNA polymerase subunit alpha {ECO:0000255|HAMAP-Rule:MF_00059};Transcriptase subunit alpha {ECO:0000255|HAMAP-Rule:MF_00059};, PF01000;PF03118;PF01193;, GO:0003677;GO:0003899;GO:0046983;GO:0006351;, ,  F:DNA binding; F:DNA-directed 5'-3' RNA polymerase activity; F:protein dimerization activity;,"  P:transcription, DNA-templated;"
contig-60_3662,binary.seasonlate.and.fall,3.948394339,5.145915462,13.13863799,0.000289268,0.004890475,Q6QGE9,Probable baseplate hub protein {ECO:0000303|PubMed:24198424},Tail protein pb3 {ECO:0000303|PubMed:24198424};, , GO:0098025;,"  C:virus tail, baseplate;", , 
contig-60_1450484,binary.seasonlate.and.fall,3.949791135,4.619855322,13.31416235,0.000263409,0.004476318,A3N1A1,Phosphoribosylformylglycinamidine cyclo-ligase {ECO:0000255|HAMAP-Rule:MF_00741},AIR synthase {ECO:0000255|HAMAP-Rule:MF_00741};AIRS {ECO:0000255|HAMAP-Rule:MF_00741};Phosphoribosyl-aminoimidazole synthetase {ECO:0000255|HAMAP-Rule:MF_00741};, PF00586;PF02769;, GO:0005737;GO:0005524;GO:0004641;GO:0006189;,  C:cytoplasm;,  F:ATP binding; F:phosphoribosylformylglycinamidine cyclo-ligase activity;,  P:'de novo' IMP biosynthetic process;
contig-60_36123,binary.seasonlate.and.fall,3.953020142,3.917466485,13.92181549,0.000190574,0.003306967,P04530,ATP-dependent helicase 41,Primase-helicase;Protein Gp41;, PF03796;, GO:0005524;GO:0003677;GO:0003678;GO:0039686;GO:0006260;, ,  F:ATP binding; F:DNA binding; F:DNA helicase activity;,  P:bidirectional double-stranded viral DNA replication; P:DNA replication;
contig-60_4159097,binary.seasonlate.and.fall,3.953186572,3.887522675,10.25150243,0.001365733,0.019275674,,,, , , , , 
contig-60_2388060,binary.seasonlate.and.fall,3.960287898,3.939697453,10.13330309,0.001456142,0.020434489,B7K0I0,Phosphoribosylformylglycinamidine cyclo-ligase {ECO:0000255|HAMAP-Rule:MF_00741},AIR synthase {ECO:0000255|HAMAP-Rule:MF_00741};AIRS {ECO:0000255|HAMAP-Rule:MF_00741};Phosphoribosyl-aminoimidazole synthetase {ECO:0000255|HAMAP-Rule:MF_00741};, PF00586;PF02769;, GO:0005737;GO:0005524;GO:0004641;GO:0006189;,  C:cytoplasm;,  F:ATP binding; F:phosphoribosylformylglycinamidine cyclo-ligase activity;,  P:'de novo' IMP biosynthetic process;
contig-60_4088,binary.seasonlate.and.fall,3.961382878,4.647388335,8.202835997,0.004182496,0.049750967,P55474,Nodulation protein NolNO,, PF16861;PF02543;, GO:0005737;GO:0016740;GO:0009058;GO:0009877;,  C:cytoplasm;,  F:transferase activity;,  P:biosynthetic process; P:nodulation;
contig-60_10489,binary.seasonlate.and.fall,3.961568382,4.948192867,11.35820583,0.000751154,0.011413505,,,, , , , , 
contig-60_89362,binary.seasonlate.and.fall,3.962657184,4.305415547,15.3996964,8.70E-05,0.001614577,,,, , , , , 
contig-60_4815,binary.seasonlate.and.fall,3.97524402,4.25558354,12.24740056,0.000465907,0.007462228,O41156,Probable flavin-dependent thymidylate synthase {ECO:0000250|UniProtKB:Q9WYT0},FAD-dependent thymidylate synthase {ECO:0000250|UniProtKB:Q9WYT0};, PF02511;, GO:0050660;GO:0050797;GO:0006231;GO:0006235;, ,  F:flavin adenine dinucleotide binding; F:thymidylate synthase (FAD) activity;,  P:dTMP biosynthetic process; P:dTTP biosynthetic process;
contig-60_5504947,binary.seasonlate.and.fall,3.980570122,5.020905082,11.08756052,0.000869087,0.013001104,P43754,Ribonucleoside-diphosphate reductase subunit alpha,Ribonucleotide reductase;, PF03477;PF02867;PF00317;, GO:0005971;GO:0005524;GO:0004748;GO:0009263;GO:0006260;,  C:ribonucleoside-diphosphate reductase complex;,"  F:ATP binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication;
contig-60_5498,binary.seasonlate.and.fall,3.980675435,4.228274955,12.77667009,0.000350969,0.005804937,Q8KHZ8,Flavin-dependent tryptophan halogenase RebH,, PF04820;, GO:0000166;GO:0016491;, ,  F:nucleotide binding; F:oxidoreductase activity;, 
contig-60_25367,binary.seasonlate.and.fall,3.983443224,5.149373832,13.69697843,0.0002148,0.003686481,B8H444,ATP-dependent zinc metalloprotease FtsH {ECO:0000255|HAMAP-Rule:MF_01458},, PF00004;PF06480;PF01434;, GO:0016021;GO:0005886;GO:0005524;GO:0016887;GO:0004222;GO:0008270;GO:0007049;GO:0051301;GO:0030163;,  C:integral component of membrane; C:plasma membrane;,  F:ATP binding; F:ATPase activity; F:metalloendopeptidase activity; F:zinc ion binding;,  P:cell cycle; P:cell division; P:protein catabolic process;
contig-60_115013,binary.seasonlate.and.fall,3.986027722,4.407627523,8.961083811,0.002757912,0.035337835,P03728,"Portal protein {ECO:0000255|HAMAP-Rule:MF_04120, ECO:0000305}","Gene product 8 {ECO:0000305};Head-to-tail connector {ECO:0000255|HAMAP-Rule:MF_04120, ECO:0000305};", PF12236;, GO:0046798;GO:0019073;GO:0099002;,  C:viral portal complex;, ,"  P:viral DNA genome packaging; P:viral genome ejection through host cell envelope, short tail mechanism;"
contig-60_5309981,binary.seasonlate.and.fall,3.986676776,6.471344205,11.05242583,0.000885712,0.013219719,,,, , , , , 
contig-60_71312,binary.seasonlate.and.fall,3.986732879,3.914990709,17.4494537,2.95E-05,0.000599696,,,, , , , , 
contig-60_312430,binary.seasonlate.and.fall,3.987679517,4.032744565,12.26729036,0.000460967,0.007393921,P08142 Q2M7Y4,Acetolactate synthase isozyme 1 large subunit,Acetohydroxy-acid synthase I large subunit;, PF02775;PF00205;PF02776;, GO:0005948;GO:0003984;GO:0050660;GO:0000287;GO:0030976;GO:0009097;GO:0009099;,  C:acetolactate synthase complex;,  F:acetolactate synthase activity; F:flavin adenine dinucleotide binding; F:magnesium ion binding; F:thiamine pyrophosphate binding;,  P:isoleucine biosynthetic process; P:valine biosynthetic process;
contig-60_202404,binary.seasonlate.and.fall,3.989751111,3.796264425,9.371103527,0.002204328,0.02914217,,,, , , , , 
contig-60_5730,binary.seasonlate.and.fall,3.991468928,4.313882097,8.521476357,0.003509796,0.043251957,Q47VR0,UDP-N-acetylmuramate--L-alanine ligase {ECO:0000255|HAMAP-Rule:MF_00046},UDP-N-acetylmuramoyl-L-alanine synthetase {ECO:0000255|HAMAP-Rule:MF_00046};, PF01225;PF02875;PF08245;, GO:0005737;GO:0005524;GO:0008763;GO:0007049;GO:0051301;GO:0071555;GO:0009252;GO:0008360;,  C:cytoplasm;,  F:ATP binding; F:UDP-N-acetylmuramate-L-alanine ligase activity;,  P:cell cycle; P:cell division; P:cell wall organization; P:peptidoglycan biosynthetic process; P:regulation of cell shape;
contig-60_31064,binary.seasonlate.and.fall,3.993557522,3.889198483,8.612755724,0.003338169,0.04155767,Q6P8X6 Q9D558 Q9D9E7,Putative ubiquitin carboxyl-terminal hydrolase 50,Deubiquitinating enzyme 50;Ubiquitin thioesterase 50;Ubiquitin-specific-processing protease 50;, PF00443;, GO:0005829;GO:0043197;GO:0031313;GO:0019897;GO:0030496;GO:0014069;GO:0004843;GO:0019783;GO:0007032;GO:2001056;GO:0050718;GO:0032741;GO:1900227;GO:0032464;GO:0016579;GO:0071108;GO:0070536;GO:0007265;GO:0006511;,  C:cytosol; C:dendritic spine; C:extrinsic component of endosome membrane; C:extrinsic component of plasma membrane; C:midbody; C:postsynaptic density;,  F:thiol-dependent ubiquitin-specific protease activity; F:ubiquitin-like protein-specific protease activity;,  P:endosome organization; P:positive regulation of cysteine-type endopeptidase activity; P:positive regulation of interleukin-1 beta secretion; P:positive regulation of interleukin-18 production; P:positive regulation of NLRP3 inflammasome complex assembly; P:positive regulation of protein homooligomerization; P:protein deubiquitination; P:protein K48-linked deubiquitination; P:protein K63-linked deubiquitination; P:Ras protein signal transduction; P:ubiquitin-dependent protein catabolic process;
